id_Articulo,id_Almacen,id_Entrada,id_Proveedor,id_Time,NumDeEntradas,CantidadArticulos
4146,7,176,88,20100721,0,2
4362,7,176,88,20100721,0,2
4383,7,176,88,20100721,0,2
4365,7,176,88,20100721,0,2
4236,7,177,88,20090521,1,10
4194,7,177,88,20090521,1,5
4123,7,178,88,20190115,0,1
4511,7,178,88,20190115,0,15
4524,7,178,88,20190115,0,5
4528,7,178,88,20190115,0,5
4133,7,178,88,20190115,0,2
3936,7,235,88,20110721,0,10
4649,7,235,88,20110721,0,4
4651,7,235,88,20110721,0,4
4654,7,235,88,20110721,0,4
4619,7,236,96,20130524,0,6
4624,7,236,96,20130524,0,6
4625,7,236,96,20130524,0,6
4629,7,236,96,20130524,0,6
4626,7,236,96,20130524,0,12
4612,7,236,96,20130524,0,6
4627,7,236,96,20130524,0,6
4620,7,236,96,20130524,0,6
4621,7,236,96,20130524,0,6
4628,7,236,96,20130524,0,6
4682,7,236,96,20130524,0,6
4642,7,237,88,20090628,1,10
4528,7,238,88,20180420,0,5
4364,7,238,88,20180420,0,5
4074,7,238,88,20180420,0,2
4652,7,238,88,20180420,0,4
4657,7,238,88,20180420,0,4
4369,7,238,88,20180420,0,10
4676,7,238,88,20180420,0,5
4310,7,239,88,20110910,0,20
4415,7,239,88,20110910,0,4
3946,7,239,88,20110910,0,10
4118,7,239,88,20110910,0,10
4676,7,239,88,20110910,0,20
4382,7,241,109,20150208,1,1
4411,7,242,88,20151102,0,7
3914,7,242,88,20151102,0,2
3934,7,242,88,20151102,0,2
4382,7,242,88,20151102,0,3
4262,7,242,88,20151102,0,2
4362,7,242,88,20151102,0,4
4383,7,242,88,20151102,0,4
4649,7,242,88,20151102,0,4
4676,7,242,88,20151102,0,14
4555,7,244,91,20191104,0,24
4552,7,244,91,20191104,0,12
4546,7,244,91,20191104,0,24
4545,7,244,91,20191104,0,24
4686,7,244,91,20191104,0,12
4687,7,244,91,20191104,0,6
4688,7,244,91,20191104,0,6
4137,8,245,88,20141104,1,118
4137,7,246,109,20190430,1,49
4074,7,247,88,20190301,1,2
4147,7,247,88,20190301,1,10
4505,7,248,88,20150905,0,5
4073,7,248,88,20150905,0,1
4236,7,248,88,20150905,0,10
4361,7,248,88,20150905,0,5
4182,7,248,88,20150905,0,2
